Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
24-Jul-22,26-Jul-22,DESI Logo with text,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
24-Jul-22,26-Jul-22,DESI Logo,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
24-Jul-22,26-Jul-22,DESI plane,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
24-Jul-22,26-Jul-22,Desi Coyote - Canis Major,56838667,Sticker,Canada,Canada,ON,to be paid,1,1.64,1.64,0
18-Jul-22,19-Jul-22,Coma Cluster from the Legacy Imaging Survey,56711537,Mug,United States,United States,CA,to be paid,1,16.09,16.09,0
18-Jul-22,21-Jul-22,Cosmic Cartography,56711537,Canvas Print,United States,United States,CA,to be paid,1,114.02,114.02,0
18-Jul-22,21-Jul-22,Cosmic Cartography,56711537,Art Print,United States,United States,CA,to be paid,1,54.39,54.39,0
15-Jul-22,16-Jul-22,Desi Coyote - Canis Major,56658687,Transparent Sticker,United States,United States,NY,to be paid,1,1.44,1.44,0
13-Jul-22,15-Jul-22,M31 Focal Plane,56593218,Sticker,United States,United States,TX,to be paid,1,1.16,1.16,0
13-Jul-22,15-Jul-22,DESI Logo with text,56593218,Sticker,United States,United States,TX,to be paid,1,1.16,1.16,0
12-Jul-22,14-Jul-22,Desi Coyote - Canis Major,56573610,Transparent Sticker,United States,United States,MI,to be paid,1,1.41,1.41,0
10-Jul-22,12-Jul-22,DESI plane,56508658,Premium T-Shirt,United States,United States,MA,to be paid,1,28.05,28.05,0
10-Jul-22,12-Jul-22,DESI plane,56508658,Premium T-Shirt,United States,United States,MA,to be paid,1,28.05,28.05,0
 8 Jul 22,11-Jul-22,DESI Logo,56431179,Mug,United States,United States,MA,to be paid,2,26.76,26.76,0
 8 Jul 22,11-Jul-22,Cosmic Cartography,56431179,Poster,United States,United States,MA,to be paid,1,14.5,14.5,0
24-Jun-22,,DESI Logo with text,1,Sticker,,United States,,,1,,,
17-Jun-22,,DESI Logo,2,Premium T-Shirt,,United States,,,1,,,
15-Jun-22,,DESI plane,3,Premium T-Shirt,,United States,,,1,,,
11-Jun-22,,DESI Logo,4,Mug,,United States,,,1,,,
18-May-22,,Desi Coyote - Canis Major,5,Pin Button,,United States,,,60,,,
18-May-22,,M31 Focal Plane,5,Pin Button,,United States,,,60,,,
18-May-22,,DESI plane,5,Pin Button,,United States,,,60,,,
16-May-22,,DESI plane,6,Premium T-Shirt,,Spain,,,1,,,
16-May-22,,DESI Logo,6,Premium T-Shirt,,Spain,,,2,,,
14-May-22,,DESI plane,7,Premium T-Shirt,,United States,,,1,,,
3-May-22,,DESI plane,8,Premium T-Shirt,,United States,,,1,,,
3-May-22,,DESI Logo,8,Baseball Cap,,United States,,,2,,,
22-Apr-22,,M31 Focal Plane,9,Sticker,,United States,,,4,,,
22-Apr-22,,M31 Focal Plane,9,Mug,,United States,,,2,,,
22-Apr-22,,DESI Logo,9,Sticker,,United States,,,4,,,
22-Apr-22,,DESI plane,9,Sticker,,United States,,,4,,,
6-Apr-22,,DESI Logo,10,Mug,,United Kingdom,,,1,,,
5-Apr-22,,M31 Focal Plane,11,Transparent Sticker,,United States,,,15,,,
5-Apr-22,,DESI plane,11,Transparent Sticker,,United States,,,30,,,
5-Apr-22,,Desi Coyote - Canis Major,11,Transparent Sticker,,United States,,,8,,,
5-Apr-22,,DESI Logo,11,Glossy Sticker,,United States,,,10,,,
4-Apr-22,,Cosmic Cartography,12,Art Print,,United States,,,1,,,
31-Mar-22,,DESI Logo,13,Magnet,,United States,,,1,,,
31-Mar-22,,DESI plane,13,Premium T-Shirt,,United States,,,1,,,
31-Mar-22,,DESI Logo,13,Premium T-Shirt,,United States,,,1,,,
31-Mar-22,,DESI Logo,13,Magnet,,United States,,,1,,,
29-Mar-22,,Cosmic Cartography,14,Poster,,United States,,,1,,,
25-Mar-22,,Cosmic Cartography,15,Jigsaw Puzzle,,United Kingdom,,,1,,,
21-Mar-22,,DESI plane,16,Premium T-Shirt,,United States,,,1,,,
21-Mar-22,,DESI Logo,16,Mug,,United States,,,1,,,
21-Mar-22,,DESI plane,16,Mug,,United States,,,1,,,
21-Mar-22,,Cosmic Cartography,16,Jigsaw Puzzle,,United States,,,1,,,
6-Mar-22,,Coma Cluster from the Legacy Imaging Survey,17,Mug,,"Korea, Republic of",,,1,,,
6-Mar-22,,DESI Logo,17,Mug,,"Korea, Republic of",,,1,,,
6-Mar-22,,Desi Coyote - Canis Major,17,Sticker,,"Korea, Republic of",,,1,,,
6-Mar-22,,DESI Logo,17,Sticker,,"Korea, Republic of",,,2,,,
6-Mar-22,,M31 Focal Plane,17,Sticker,,"Korea, Republic of",,,1,,,
6-Mar-22,,Coma Cluster from the Legacy Imaging Survey,17,Throw Pillow,,"Korea, Republic of",,,2,,,
1-Mar-22,,Cosmic Cartography,18,Jigsaw Puzzle,,United States,,,1,,,
1-Mar-22,,DESI plane,19,Glossy Sticker,,United States,,,2,,,
1-Mar-22,,DESI plane,19,Glossy Sticker,,United States,,,2,,,
1-Mar-22,,DESI plane,19,Glossy Sticker,,United States,,,10,,,
